uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,population,urban,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale
240,1.10E+11,Aiton Elementary School,1100030,District Of Columbia Public Schools,9/25/2019,2019-2020,2019,,Wednesday,Washington,District of Columbia,"7,705,281",N,public,243,0,0,0,targeted,,,,,,,,,,,,,0,238,5,0,0,0,0,0,,,38.896669,-76.933728,21,PK,5,,District of Columbia,11,11001,11
246,63583006130,Ridgway High School,635830,Santa Rosa High,10/22/2019,2019-2020,2019,9:00 AM,Tuesday,"Santa Rosa, California",California,"178,127",N,public,257,0,1,1,targeted,17,,,student,,,,,,,,,64,4,163,4,5,1,16,0,,,38.4497,-122.7226,19.08,11,12,139,Sonoma County,6,6097,12
247,2.40E+11,Achievement Academy,2400090,Baltimore City Public Schools,11/11/2019,2019-2020,2019,2:00 PM,Monday,Baltimore,Maryland,"585,708",N,public,343,0,1,1,targeted,,,,,,,,,,,,,4,332,5,0,1,0,1,0,,,39.366066,-76.571382,20,9,12,343,Baltimore City,24,24510,11
284,,Esteban Torres High School,622710,,11/13/2019,2019-2020,2019,9:00 AM,Wednesday,Los Angeles,California,"3,898,747",N,public,1876,1,0,1,targeted,,,,sheriff's deputy,,,,,,,,,9,20,1836,8,2,0,1,1,,police,34.041846,-118.175531,97.75,9,12,1802,Los Angeles County,6,6037,21
248,64251006961,Saugus High School,642510,William S. Hart Union High,11/14/2019,2019-2020,2019,7:38 AM,Thursday,"Saugus, Massachusetts",California,"28,619",N,public,2441,2,3,5,indiscriminate,16,m,,student,1,suicide,,,,,,,1294,47,772,176,3,1,148,0,.45 caliber 1911 pistol,ghost gun,34.441924,-118.518128,93.98,9,12,406,Los Angeles County,6,6037,21
249,5.52E+11,Waukesha South High School,5515780,Waukesha School District,12/2/2019,2019-2020,2019,9:00 AM,Monday,"Waukesha, Wisconsin",Wisconsin,"71,158",Y,public,946,0,1,1,targeted,,m,w,resource officer,0,,,,,,,,479,76,329,25,3,0,34,1,handgun,department issued,42.993,-88.2237,73.3,9,12,395,Waukesha County,55,55133,13
250,5.51E+11,Oshkosh West High School,5511190,Oshkosh Area School District,12/3/2019,2019-2020,2019,9:00 AM,Tuesday,"Oshkosh, Wisconsin",Wisconsin,"66,816",N,public,1702,0,1,1,targeted,,m,w,resource officer,0,,,,,,,,1475,36,70,79,4,1,37,1,handgun,department issued,44.0225,-88.5736,116.1,9,12,435,Winnebago County,55,55139,13
251,10117000429,Decatur High School,101170,Decatur City,12/10/2019,2019-2020,2019,8:20 AM,Tuesday,"Decatur, Wisconsin",Alabama,"1,685",N,public,1036,0,0,0,targeted,22,m,,,0,,,,,,,,448,301,250,9,6,2,20,0,,,34.593282,-86.97216,64.5,9,12,586,Morgan County,1,1103,13
252,864049,Sacred Heart School,,,12/10/2019,2019-2020,2019,12:45 PM,Tuesday,"Jersey City, New Jersey",New Jersey,"292,449",Y,private,219,0,0,0,targeted,,,,,,,,,,,,,2,180,12,5,0,0,0,0,,,40.706963,-74.083408,11.5,PK,8,,Hudson County,34,34017,11
253,230704,Catholic Academy of New Haven,,,12/16/2019,2019-2020,2019,9:00 AM,Monday,"New Haven, Connecticut",Connecticut,"134,023",N,private,292,0,0,0,targeted,,m,b,,,,,,,,,,27,141,39,9,2,0,2,0,,,41.325823,-72.963177,13,PK,8,,New Haven County,9,9009,12
